workflow_id,model,iteration,passes_actionlint,n_errors,lint_time_sec
0,pro,1,True,0,0.7077891826629631
1,pro,1,True,0,0.708648443222045
2,pro,1,True,0,0.711791038513183
3,pro,1,True,0,0.701812744140625
4,pro,1,True,0,0.673983097076416
5,pro,1,True,0,0.730900526046752
6,pro,1,True,0,0.689960718154907
7,pro,1,True,0,0.727449655532836
8,pro,1,True,0,0.653574705123901
9,pro,1,True,0,0.6725502014160151
10,pro,1,True,0,0.653366565704345
11,pro,1,True,0,0.696163177490234
12,pro,1,True,0,0.649796724319458
13,pro,1,True,0,0.6550664901733391
14,pro,1,True,0,0.6714375019073481
15,pro,1,True,0,0.685110807418823
16,pro,1,True,0,0.67909550666809
17,pro,1,True,0,0.670983791351318
18,pro,1,True,0,0.691666603088378
19,pro,1,True,0,0.660041332244873
20,pro,2,True,0,0.687172651290893
21,pro,2,True,0,0.7399361133575441
22,pro,1,True,0,0.754448890686035
23,pro,1,True,0,0.711108446121215
24,pro,1,True,0,0.69854736328125
25,pro,1,True,0,0.7374999523162841
26,pro,1,True,0,0.7175405025482171
27,pro,5,False,1,0.10077881813049301
28,pro,5,False,1,0.6849572658538811
29,pro,2,True,0,0.688550233840942
30,pro,2,True,0,0.69014573097229
31,pro,1,True,0,0.7178153991699211
32,pro,1,True,0,0.7252974510192871
33,pro,1,True,0,0.736680269241333
34,pro,1,True,0,0.703011035919189
35,pro,1,True,0,0.736057996749877
36,pro,1,True,0,0.754116535186767
37,pro,1,True,0,0.7103972434997551
38,pro,1,True,0,0.7271931171417231
39,pro,1,True,0,0.727149486541748
40,pro,1,True,0,0.7424328327178951
41,pro,1,True,0,0.746309518814086
42,pro,1,True,0,0.7558984756469721
43,pro,2,True,0,0.719739198684692
44,pro,1,True,0,0.780369997024536
45,pro,1,True,0,0.7784507274627681
46,pro,5,False,1,0.7472791671752931
47,pro,1,True,0,0.718279838562011
48,pro,1,True,0,0.754865646362304
49,pro,2,True,0,0.7474737167358391
50,pro,1,True,0,0.7960760593414301
51,pro,1,True,0,0.781018733978271
52,pro,1,True,0,0.7940852642059321
53,pro,2,True,0,0.701043844223022
54,pro,1,True,0,0.753367185592651
55,pro,1,True,0,0.704325199127197
56,pro,1,True,0,0.740367412567138
57,pro,1,True,0,0.7318696975708
58,pro,1,True,0,0.77905535697937
59,pro,3,True,0,0.7150254249572751
60,pro,1,True,0,0.714548826217651
61,pro,1,True,0,0.691846370697021
62,pro,1,True,0,0.693114280700683
63,pro,1,True,0,0.7040140628814691
64,pro,1,True,0,0.721518039703369
65,pro,2,True,0,0.6860027313232421
66,pro,1,True,0,0.7245247364044191
67,pro,1,True,0,0.7315962314605711
68,pro,2,True,0,0.7190811634063721
69,pro,1,True,0,0.715783596038818
70,pro,1,True,0,0.7040112018585201
71,pro,1,True,0,0.683959245681762
72,pro,1,True,0,0.6830644607543941
73,pro,2,True,0,0.7603764533996581
74,pro,1,True,0,0.7842171192169191
75,pro,1,True,0,0.7773449420928951
76,pro,1,True,0,0.6877775192260741
77,pro,1,True,0,0.693032026290893
78,pro,5,False,1,0.6818714141845701
79,pro,1,True,0,0.6941809654235841
80,pro,2,True,0,0.70461368560791
81,pro,2,True,0,0.680957794189453
82,pro,1,True,0,0.700089693069458
83,pro,1,True,0,0.728209257125854
84,pro,1,True,0,0.6956150531768791
85,pro,1,True,0,0.7038686275482171
86,pro,1,True,0,0.686500072479248
87,pro,1,True,0,0.679572582244873
88,pro,1,True,0,0.685976505279541
89,pro,1,True,0,0.702789068222045
90,pro,1,True,0,0.750021696090698
91,pro,1,True,0,0.73474907875061
92,pro,1,True,0,0.725748777389526
93,pro,1,True,0,0.757678508758544
94,pro,1,True,0,0.712193489074707
95,pro,1,True,0,0.7940187454223631
96,pro,2,True,0,0.7255778312683101
97,pro,1,True,0,0.7321641445159911
98,pro,1,True,0,0.734513044357299
99,pro,1,True,0,0.768734693527221
100,pro,1,True,0,0.7243936061859131
101,pro,2,True,0,0.7033200263977051
102,pro,1,True,0,0.7436981201171871
103,pro,2,True,0,0.7187457084655761
104,pro,1,True,0,0.794204950332641
105,pro,1,True,0,0.713553667068481
106,pro,5,False,2,0.716804981231689
107,pro,1,True,0,0.703163146972656
108,pro,1,True,0,0.7326972484588621
109,pro,1,True,0,0.723917722702026
110,pro,1,True,0,0.7374517917633051
111,pro,1,True,0,0.7165000438690181
112,pro,1,True,0,0.78096055984497
113,pro,1,True,0,0.7120866775512691
114,pro,1,True,0,0.708744764328002
115,pro,2,True,0,0.733478307723999
116,pro,1,True,0,0.702361345291137
117,pro,1,True,0,0.8126394748687741
118,pro,2,True,0,0.718493700027465
119,pro,1,True,0,0.7440967559814451
120,pro,1,True,0,0.7132632732391351
121,pro,1,True,0,0.727433443069458
122,pro,1,True,0,0.697370290756225
123,pro,1,True,0,0.7684779167175291
124,pro,1,True,0,0.702566385269165
125,pro,1,True,0,0.70936632156372
126,pro,1,True,0,0.7201957702636711
127,pro,1,True,0,0.7365782260894771
128,pro,1,True,0,0.740399599075317
129,pro,1,True,0,0.7240359783172601
130,pro,1,True,0,0.7218613624572751
131,pro,1,True,0,0.719922304153442
132,pro,1,True,0,0.7641444206237791
133,pro,1,True,0,0.7446854114532471
134,pro,1,True,0,0.744101047515869
135,pro,2,True,0,0.706032037734985
136,pro,1,True,0,0.7157323360443111
137,pro,1,True,0,0.708225965499877
138,pro,1,True,0,0.7375714778900141
139,pro,1,True,0,0.727224349975585
140,pro,1,True,0,0.7066657543182371
141,pro,1,True,0,0.7020552158355711
142,pro,1,True,0,0.734404802322387
143,pro,5,False,1,0.72240924835205
144,pro,5,False,1,0.7249741554260251
145,pro,2,True,0,0.696877002716064
146,pro,5,False,2,0.77863073348999
147,pro,5,False,3,0.722899436950683
148,pro,2,True,0,0.6668019294738771
149,pro,5,False,1,0.7053179740905761
150,pro,5,False,2,0.673469543457031
151,pro,5,False,1,0.69887638092041
152,pro,5,False,1,0.6724283695220941
153,pro,5,False,1,0.7102079391479491
154,pro,4,True,0,0.6863517761230461
155,pro,1,True,0,0.7449820041656491
156,pro,1,True,0,0.7120232582092281
157,pro,1,True,0,0.718719005584716
158,pro,1,True,0,0.7213969230651851
159,pro,1,True,0,0.7484083175659181
160,pro,1,True,0,0.6910996437072751
161,pro,1,True,0,0.6985344886779781
162,pro,1,True,0,0.6887047290802001
163,pro,1,True,0,0.710625648498535
164,pro,1,True,0,0.868656873703002
165,pro,1,True,0,0.691408395767211
166,pro,1,True,0,0.696532487869262
167,pro,1,True,0,0.713189125061035
168,pro,1,True,0,0.7015888690948481
169,pro,1,True,0,0.686109781265258
170,pro,1,True,0,0.7556412220001221
171,pro,1,True,0,0.6810450553894041
172,pro,1,True,0,0.6916117668151851
173,pro,1,True,0,0.6809422969818111
174,pro,1,True,0,0.7212648391723631
175,pro,1,True,0,0.702073097229003
176,pro,1,True,0,0.6973936557769771
177,pro,1,True,0,0.7022578716278071
178,pro,2,True,0,0.6776151657104491
179,pro,2,True,0,0.68439769744873
180,pro,1,True,0,0.745601892471313
181,pro,1,True,0,0.6877951622009271
182,pro,1,True,0,0.68909740447998
183,pro,1,True,0,0.668148517608642
184,pro,1,True,0,0.715514183044433
185,pro,1,True,0,0.6821384429931641
186,pro,1,True,0,0.7092070579528801
187,pro,2,True,0,0.7539536952972411
188,pro,1,True,0,0.6919114589691161
189,pro,1,True,0,0.7172584533691401
190,pro,1,True,0,0.693284034729003
191,pro,1,True,0,0.7306382656097411
192,pro,1,True,0,0.710476636886596
193,pro,1,True,0,0.7085163593292231
194,pro,1,True,0,0.702332973480224
195,pro,1,True,0,0.7220153808593751
196,pro,1,True,0,0.7141542434692381
197,pro,1,True,0,0.7275097370147701
198,pro,2,True,0,0.700776815414428
199,pro,1,True,0,0.8089740276336671
200,pro,1,True,0,0.724345207214355
201,pro,2,True,0,0.6975026130676271
202,pro,1,True,0,0.704291820526123
203,pro,1,True,0,0.7034258842468261
204,pro,1,True,0,0.7132346630096431
205,pro,1,True,0,0.712632179260253
206,pro,1,True,0,0.7246551513671871
207,pro,1,True,0,0.690262079238891
208,pro,1,True,0,0.680585384368896
209,pro,1,True,0,0.6858193874359131
210,pro,1,True,0,0.725555181503295
211,pro,1,True,0,0.7460393905639641
212,pro,2,True,0,0.669774770736694
213,pro,1,True,0,0.697921991348266
214,pro,2,True,0,0.7049295902252191
215,pro,1,True,0,0.7152962684631341
216,pro,1,True,0,0.69976806640625
217,pro,1,True,0,0.7369751930236811
218,pro,1,True,0,0.689971685409545
219,pro,1,True,0,0.707773923873901
220,pro,1,True,0,0.705798149108886
221,pro,1,True,0,0.7362096309661861
222,pro,1,True,0,0.693905115127563
223,pro,1,True,0,0.701164960861206
224,pro,1,True,0,0.7126836776733391
225,pro,1,True,0,0.7269845008850091
226,pro,1,True,0,0.6930191516876221
227,pro,1,True,0,0.7020440101623531
228,pro,1,True,0,0.7134602069854731
229,pro,1,True,0,0.7008790969848631
230,pro,1,True,0,0.6853678226470941
231,pro,2,True,0,0.6769001483917231
232,pro,1,True,0,0.6996326446533201
233,pro,1,True,0,0.7130827903747551
234,pro,1,True,0,0.7207148075103761
235,pro,1,True,0,0.703514814376831
236,pro,1,True,0,0.7600746154785151
237,pro,1,True,0,0.6935799121856691
238,pro,1,True,0,0.716138124465942
239,pro,2,True,0,0.699565410614013
240,pro,1,True,0,0.74952745437622
241,pro,1,True,0,0.8167147636413571
242,pro,1,True,0,0.706941127777099
243,pro,3,True,0,0.69732642173767
244,pro,5,False,2,0.714371442794799
245,pro,2,True,0,0.8996386528015131
246,pro,5,False,2,0.678507804870605
247,pro,1,True,0,0.695578575134277
248,pro,1,True,0,0.7157676219940181
249,pro,1,True,0,0.7181396484375
250,pro,1,True,0,0.6982095241546631
251,pro,1,True,0,0.703257799148559
252,pro,5,False,1,0.703618764877319
253,pro,2,True,0,0.6833314895629881
254,pro,2,True,0,0.7044358253479001
255,pro,4,True,0,0.6937019824981691
256,pro,1,True,0,0.70294451713562
257,pro,4,True,0,0.6867938041687011
258,pro,1,True,0,0.7001016139984131
259,pro,1,True,0,0.735733270645141
260,pro,1,True,0,0.68373155593872
261,pro,2,True,0,0.675411224365234
262,pro,1,True,0,0.697126150131225
263,pro,2,True,0,0.7062442302703851
264,pro,1,True,0,0.712507486343383
265,pro,1,True,0,0.7503831386566161
